ts,frame_hex,cmd,sub,payload_len
2026-08-05T02:12:36.193504+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:36.193535+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:36.193561+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:36.193587+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:36.193622+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:36.193655+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:36.193680+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:36.193705+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:36.193729+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:36.193753+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:36.193777+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:36.294055+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:36.294202+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:36.294232+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:36.294257+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:36.294282+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:36.294306+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:36.294331+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:36.294355+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:36.294379+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
