ts,frame_hex,u16_1_2,u16_3_4,u16_5_6,u16_7_8,u16_9_10,u16_11_12,u16_13_14,u16_15_16,u16_17_18,u16_19_20,u16_21_22,u16_23_24,u16_25_26,u16_27_28,u16_29_30,u16_31_32,u16_33_34
2026-08-05T02:02:45.742259+00:00,a55a25821000142d03dd0024000200570026002400000c9d00000001000100340001000100010000,5165,989,36,2,87,38,36,0,3229,0,1,1,52,1,1,1,0
2026-08-05T02:02:46.344443+00:00,a55a25821000142e03dd0025000200570026002400000c9d00000001000100350001000100010000,5166,989,37,2,87,38,36,0,3229,0,1,1,53,1,1,1,0
2026-08-05T02:02:46.931226+00:00,a55a25821000142e03e00026000200570026002400000c9d00000001000100330001000100010000,5166,992,38,2,87,38,36,0,3229,0,1,1,51,1,1,1,0
2026-08-05T02:02:47.533493+00:00,a55a25821000142e03da0027000200570026002400000c9d00000001000100340001000100010000,5166,986,39,2,87,38,36,0,3229,0,1,1,52,1,1,1,0
2026-08-05T02:02:48.035172+00:00,a55a25821000142f03da0028000200570026002400000c9e00000001000100350001000100010000,5167,986,40,2,87,38,36,0,3230,0,1,1,53,1,1,1,0
2026-08-05T02:02:48.637426+00:00,a55a25821000142f03dd0029000200570026002400000c9e00000001000100330001000100010000,5167,989,41,2,87,38,36,0,3230,0,1,1,51,1,1,1,0
2026-08-05T02:02:49.239195+00:00,a55a25821000143003da001f000200570026002400000c9e00000001000100340001000100010000,5168,986,31,2,87,38,36,0,3230,0,1,1,52,1,1,1,0
2026-08-05T02:02:49.741232+00:00,a55a25821000143003da0020000200570026002400000c9e00000001000100350001000100010000,5168,986,32,2,87,38,36,0,3230,0,1,1,53,1,1,1,0
2026-08-05T02:02:50.343682+00:00,a55a25821000143003dd0021000200570026002400000c9f00000001000100330001000100010000,5168,989,33,2,87,38,36,0,3231,0,1,1,51,1,1,1,0
2026-08-05T02:02:50.945880+00:00,a55a25821000143003dd0022000200560026002400000c9e00000001000100340001000100010000,5168,989,34,2,86,38,36,0,3230,0,1,1,52,1,1,1,0
2026-08-05T02:02:51.447843+00:00,a55a25821000143103dd0023000200560026002400000c9f00000001000100350001000100010000,5169,989,35,2,86,38,36,0,3231,0,1,1,53,1,1,1,0
2026-08-05T02:02:52.050055+00:00,a55a25821000143203dd0024000200560026002400000c9f00000001000100330001000100010000,5170,989,36,2,86,38,36,0,3231,0,1,1,51,1,1,1,0
2026-08-05T02:02:52.652327+00:00,a55a25821000143203dd0025000200560026002400000ca000000001000100340001000100010000,5170,989,37,2,86,38,36,0,3232,0,1,1,52,1,1,1,0
2026-08-05T02:02:53.154128+00:00,a55a25821000143303dd0026000200560026002400000ca000000001000100350001000100010000,5171,989,38,2,86,38,36,0,3232,0,1,1,53,1,1,1,0
2026-08-05T02:02:53.756550+00:00,a55a25821000143303dd0027000200560026002400000ca000000001000100330001000100010000,5171,989,39,2,86,38,36,0,3232,0,1,1,51,1,1,1,0
2026-08-05T02:02:54.358866+00:00,a55a25821000143403dd0028000200560026002400000ca100000001000100340001000100010000,5172,989,40,2,86,38,36,0,3233,0,1,1,52,1,1,1,0
2026-08-05T02:02:54.860676+00:00,a55a25821000143503dd0029000200560026002400000ca100000001000100350001000100010000,5173,989,41,2,86,38,36,0,3233,0,1,1,53,1,1,1,0
2026-08-05T02:02:55.463182+00:00,a55a25821000143503dd001f000200560026002400000ca100000001000100330001000100010000,5173,989,31,2,86,38,36,0,3233,0,1,1,51,1,1,1,0
2026-08-05T02:02:56.065407+00:00,a55a25821000143503e00020000200560026002400000ca200000001000100340001000100010000,5173,992,32,2,86,38,36,0,3234,0,1,1,52,1,1,1,0
2026-08-05T02:02:56.567377+00:00,a55a25821000143503e00021000200560026002400000ca200000001000100350001000100010000,5173,992,33,2,86,38,36,0,3234,0,1,1,53,1,1,1,0
2026-08-05T02:02:57.152661+00:00,a55a25821000143603e00022000200560026002400000ca200000001000100330001000100010000,5174,992,34,2,86,38,36,0,3234,0,1,1,51,1,1,1,0
2026-08-05T02:02:57.754906+00:00,a55a25821000143603e00023000200560026002400000ca200000001000100340001000100010000,5174,992,35,2,86,38,36,0,3234,0,1,1,52,1,1,1,0
2026-08-05T02:02:58.256836+00:00,a55a25821000143703e00024000200560026002400000ca200000001000100350001000100010000,5175,992,36,2,86,38,36,0,3234,0,1,1,53,1,1,1,0
2026-08-05T02:02:58.858972+00:00,a55a25821000143703da0025000200560026002400000ca300000001000100330001000100010000,5175,986,37,2,86,38,36,0,3235,0,1,1,51,1,1,1,0
2026-08-05T02:02:59.461456+00:00,a55a25821000143803da0026000200560026002400000ca300000001000100340001000100010000,5176,986,38,2,86,38,36,0,3235,0,1,1,52,1,1,1,0
2026-08-05T02:02:59.963316+00:00,a55a25821000143803dd0027000200560026002400000ca300000001000100350001000100010000,5176,989,39,2,86,38,36,0,3235,0,1,1,53,1,1,1,0
2026-08-05T02:03:00.565533+00:00,a55a25821000143803da0028000200560026002400000ca300000001000100330001000100010000,5176,986,40,2,86,38,36,0,3235,0,1,1,51,1,1,1,0
2026-08-05T02:03:01.167657+00:00,a55a25821000143803da0029000200560026002400000ca300000001000100340001000100010000,5176,986,41,2,86,38,36,0,3235,0,1,1,52,1,1,1,0
2026-08-05T02:03:01.669781+00:00,a55a25821000143903da001f000200530026002400000ca400000001000100350001000100010000,5177,986,31,2,83,38,36,0,3236,0,1,1,53,1,1,1,0
2026-08-05T02:03:02.271973+00:00,a55a25821000143a03dd0020000200530026002400000ca500000001000100330001000100010000,5178,989,32,2,83,38,36,0,3237,0,1,1,51,1,1,1,0
2026-08-05T02:03:02.874129+00:00,a55a25821000143a03dd0021000200530026002400000ca500000001000100340001000100010000,5178,989,33,2,83,38,36,0,3237,0,1,1,52,1,1,1,0
2026-08-05T02:03:03.375974+00:00,a55a25821000143a03da0022000200530026002400000ca500000001000100350001000100010000,5178,986,34,2,83,38,36,0,3237,0,1,1,53,1,1,1,0
2026-08-05T02:03:03.978388+00:00,a55a25821000143b03dd0023000200530026002400000ca500000001000100330001000100010000,5179,989,35,2,83,38,36,0,3237,0,1,1,51,1,1,1,0
2026-08-05T02:03:04.580600+00:00,a55a25821000143b03dd0024000200530026002400000ca500000001000100340001000100010000,5179,989,36,2,83,38,36,0,3237,0,1,1,52,1,1,1,0
2026-08-05T02:03:05.082475+00:00,a55a25821000143c03da0025000200530026002400000ca600000001000100350001000100010000,5180,986,37,2,83,38,36,0,3238,0,1,1,53,1,1,1,0
2026-08-05T02:03:05.684931+00:00,a55a25821000143c03dd0026000200530026002400000ca600000001000100330001000100010000,5180,989,38,2,83,38,36,0,3238,0,1,1,51,1,1,1,0
2026-08-05T02:03:06.287135+00:00,a55a25821000143d03dd0027000200530026002400000ca600000001000100340001000100010000,5181,989,39,2,83,38,36,0,3238,0,1,1,52,1,1,1,0
2026-08-05T02:03:06.789036+00:00,a55a25821000143d03dd0028000200530026002400000ca600000001000100350001000100010000,5181,989,40,2,83,38,36,0,3238,0,1,1,53,1,1,1,0
2026-08-05T02:03:07.374662+00:00,a55a25821000143e03da0029000200530026002400000ca700000001000100330001000100010000,5182,986,41,2,83,38,36,0,3239,0,1,1,51,1,1,1,0
2026-08-05T02:03:07.976832+00:00,a55a25821000143e03da001f000200530026002400000ca700000001000100340001000100010000,5182,986,31,2,83,38,36,0,3239,0,1,1,52,1,1,1,0
2026-08-05T02:03:08.478672+00:00,a55a25821000143e03dd0020000200530026002400000ca700000001000100350001000100010000,5182,989,32,2,83,38,36,0,3239,0,1,1,53,1,1,1,0
2026-08-05T02:03:09.080764+00:00,a55a25821000143e03dd0021000200530026002400000ca700000001000100330001000100010000,5182,989,33,2,83,38,36,0,3239,0,1,1,51,1,1,1,0
2026-08-05T02:03:09.683115+00:00,a55a25821000143f03dd0022000200530026002400000ca800000001000100340001000100010000,5183,989,34,2,83,38,36,0,3240,0,1,1,52,1,1,1,0
2026-08-05T02:03:10.185097+00:00,a55a25821000144003da0023000200530026002400000ca800000001000100350001000100010000,5184,986,35,2,83,38,36,0,3240,0,1,1,53,1,1,1,0
2026-08-05T02:03:10.787216+00:00,a55a25821000144003dd0024000200530026002400000ca800000001000100330001000100010000,5184,989,36,2,83,38,36,0,3240,0,1,1,51,1,1,1,0
2026-08-05T02:03:11.389603+00:00,a55a25821000144003dd0025000200530026002400000ca900000001000100340001000100010000,5184,989,37,2,83,38,36,0,3241,0,1,1,52,1,1,1,0
2026-08-05T02:03:11.991919+00:00,a55a25821000144103dd0026000200530026002400000ca900000001000100350001000100010000,5185,989,38,2,83,38,36,0,3241,0,1,1,53,1,1,1,0
2026-08-05T02:03:12.493798+00:00,a55a25821000144203d60027000200550026002400000ca900000001000100330001000100010000,5186,982,39,2,85,38,36,0,3241,0,1,1,51,1,1,1,0
